向	B-交易品种
不	I-交易品种
特	I-交易品种
定	I-交易品种
对	I-交易品种
象	I-交易品种B-时间
发	I-时间
行	I-时间
的	I-时间
可	I-时间
转	I-时间
债	O
上	B-交易方式
市	I-交易方式
首	I-交易方式
日	I-交易方式
，	B-key
协	I-key
商	I-key
成	I-key
交	O
申	B-价格
报	I-价格
价	I-价格
格	I-价格
在	I-价格
发	I-价格
行	I-价格
价	I-价格
的	I-价格
上	I-价格
下	I-价格
3	I-价格
0	O
%	O
范	O交易品种
围	I-交易品种
内	B-时间
确	I-时间
定	I-时间
。	I-时间
除	O
上	B-交易方式
市	I-交易方式
首	I-交易方式
日	I-交易方式
外	B-key
，	I-key
协	I-key
商	I-key
成	O
交	B-价格
申	I-价格
报	I-价格
价	I-价格
格	I-价格
在	I-价格
当	I-价格
日	I-价格
涨	I-价格
跌	I-价格
幅	I-价格
限	I-价格
制	O
价	O
格	O
范	I-交易品种
围	I-交易品种
内	I-交易品种
确	I-交易品种
定	I-交易品种
。	I-交易品种
