向	B-交易品种
不	I-交易品种
特	I-交易品种
定	I-交易品种
对	I-交易品种
象	I-交易品种
发	I-交易品种
行	I-交易品种
的	I-交易品种
可	I-交易品种
转	I-交易品种
债	I-交易品种
上	B-时间
市	I-时间
首	I-时间
日	I-时间
，	O
开	B-时间
盘	I-时间
集	I-时间
合	I-时间
匹	I-时间
配	I-时间
期	I-时间
间	I-时间
的	O
有	B-key
效	I-key
申	I-key
报	I-key
价	I-keB-时间
格	I-时间
范	I-时间
围	I-时间
为	I-时间
发	I-时间
行	B-状态
价	I-状态
的	I-状态
上	I-状态
下	I-状态
3	I-状态
0	I-状态
%	O
，	B-时间
连	I-时间
续	I-时间
匹	I-时间
配	I-时间
、	I-时间
盘	B-key
中	I-key
临	I-key
时	I-key
停	I-key
牌	I-key
、	I-key
收	I-key
盘	I-key
集	I-key
合	I-key
匹	I-key
配	O
期	B-价格
间	I-价格
的	I-价格
有	I-价格
效	I-价格
申	I-价格
报	I-价格
价	I-价格
格	I-价格
范	O
围	B-时间
为	I-时间
匹	B-状态
配	I-状态
成	I-状态
交	O
最	O
近	O
成	B-价格
交	I-价格
价	I-价格
的	I-价格
上	O
下	I-价格
1	I-价格
0	O
%	B-时间
，	I-时间
收	I-时间
盘	I-时间
集	O
合	B-时间
匹	I-时间
配	I-时间
在	I-时间
有	I-时间
效	I-时间
申	O
报	B-时间
价	I-时间
格	I-时间
范	I-时间
围	I-时间
内	I-时间
进	I-时间
行	I-时间
撮	O
合	B-key
，	I-key
且	I-key
全	I-key
日	I-key
有	I-key
效	I-key
申	I-key
报	O
价	B-价格
格	I-价格
不	I-价格
得	I-价格
高	I-价格
于	I-价格
发	I-价格
行	I-价格
价	I-价格
的	I-价格
1	I-价格
5	I-价格
7	I-价格
.	I-价格
3	I-价格
%	O
并	B-value
不	I-value
得	I-value
低	I-value
于	I-value
发	I-value
行	O
价	B-价格
的	I-价格
5	I-价格
6	I-价格
.	I-价格
7	I-价格
%	I-价格
。	I-价格
除	I-价格
上	O
市	O
首	B-操作
日	I-操作
外	O
，	O
有	B-时间
效	I-时间
申	B-价格
报	I-价格
价	I-价格
格	I-价格
范	I-价格
围	I-价格
与	B-结果
涨	I-结果
跌	B-op
幅	I-op
限	B-价格
制	I-价格
范	I-价格
围	I-价格
一	I-价格
致	I-价格
。	I-价格
集	I-价格
合	I-价格
匹	I-价格
配	O
期	B-结果
间	I-结果
没	B-op
有	I-op
达	B-价格
成	I-价格
成	I-价格
交	I-价格
的	I-价格
，	I-价格
后	I-价格
续	I-价格
匹	I-价格
配	Okey
期	I-key
间	I-key
有	I-key
效	I-key
申	I-key
报	I-key
价	I-key
格	O
范	B-价格
围	I-价格
的	I-价格
基	I-价格
准	I-价格
价	I-价格
为	I-价格
匹	I-价格
配	I-价格
成	O
交	B-时间
最	I-时间
近	I-时间
成	I-时间
交	O
价	B-时间
；	I-时间
当	I-时间
日	I-时间
无	I-时间
成	I-时间
交	O
的	B-时间
，	I-时间
为	I-时间
前	I-时间
收	I-时间
盘	I-时间
价	I-时间
。	I-时间
