基	B-交易品种
金	I-交易品种
份	I-交易品种
额	I-交易品种
竞	B-交易方式
价	I-交易方式
交	I-交易方式
易	I-交易方式
采	O
用	O
限	B-value
价	I-value
申	I-value
报	I-value
或	B-op
者	I-op
市	B-value
价	I-value
申	I-value
报	I-value
的	O
方	B-key
式	I-key
进	O
行	O
申	B-操作
报	I-操作
。	O
每	B-时间
个	I-时间
交	I-时间
易	I-时间
日	I-时间
9	I-时间
︰	I-时间
1	I-时间
5	I-时间
至	I-时间
9	I-时间
︰	I-时间
2	I-时间
5	I-时间
为	O
开	B-key
盘	I-key
集	I-key
合	I-key
竞	I-key
价	I-key
时	I-key
间	I-key
，	O
9	B-时间
︰	I-时间
3	I-时间
0	I-时间
至	I-时间
1	I-时间
1	I-时间
︰	I-时间
3	I-时间
0	I-时间
、	I-时间
1	I-时间
3	I-时间
︰	I-时间
0	I-时间
0	I-时间
至	I-时间
1	I-时间
4	I-时间
︰	I-时间
5	I-时间
7	I-时间
为	O
连	B-key
续	I-key
竞	I-key
价	I-key
时	I-key
间	I-key
，	O
1	B-时间
4	I-时间
︰	I-时间
5	I-时间
7	I-时间
至	I-时间
1	I-时间
5	I-时间
︰	I-时间
0	I-时间
0	I-时间
为	O
收	B-key
盘	I-key
集	I-key
合	I-key
竞	I-key
价	I-key
时	I-key
间	I-key
。	O
