本	B-系统
所	I-系统
大	B-交易方式
宗	I-交易方式
交	I-交易方式
易	I-交易方式
采	O
用	O
协	B-交易方式
议	I-交易方式
大	I-交易方式
宗	I-交易方式
交	I-交易方式
易	I-交易方式
和	O
盘	B-交易方式
后	I-交易方式
定	I-交易方式
价	I-交易方式
大	I-交易方式
宗	I-交易方式
交	I-交易方式
易	I-交易方式
方	O
式	O
。	O
协	B-交易方式
议	I-交易方式
大	I-交易方式
宗	I-交易方式
交	I-交易方式
易	I-交易方式
，	O
是	O
指	O
大	B-操作人
宗	I-操作人
交	I-操作人
易	I-操作人
双	I-操作人
方	I-操作人
互	O
为	O
指	B-key
定	I-key
交	I-key
易	I-key
对	I-key
手	I-key
方	I-key
，	O
协	B-操作
商	I-操作
确	I-操作
定	I-操作
交	B-操作部分
易	I-操作部分
价	I-操作部分
格	I-操作部分
及	I-操作部分
数	I-操作部分
量	I-操作部分
的	O
交	B-key
易	I-key
方	I-key
式	I-key
。	O
盘	B-交易方式
后	I-交易方式
定	I-交易方式
价	I-交易方式
大	I-交易方式
宗	I-交易方式
交	I-交易方式
易	I-交易方式
，	O
是	O
指	O
证	B-交易品种
券	I-交易品种
交	O
易	O
收	B-时间
盘	I-时间
后	I-时间
按	O
照	O
时	B-value
间	I-value
优	I-value
先	I-value
的	I-value
原	I-value
则	I-value
，	O
以	O
证	B-价格
券	I-价格
当	I-价格
日	I-价格
收	I-价格
盘	I-价格
价	I-价格
或	B-or
证	B-价格
券	I-价格
当	I-价格
日	I-价格
成	I-价格
交	I-价格
量	I-价格
加	I-价格
权	I-价格
平	I-价格
均	I-价格
价	I-价格
格	I-价格
对	O
大	B-操作部分
宗	I-操作部分
交	I-操作部分
易	I-操作部分
买	I-操作部分
卖	I-操作部分
申	I-操作部分
报	I-操作部分
逐	B-操作
笔	I-操作
连	I-操作
续	I-操作
撮	I-操作
合	I-操作
的	O
交	B-key
易	I-key
方	I-key
式	I-key
。	O
