投	B-操作人
资	I-操作人
者	I-操作人
交	B-操作
易	I-操作
、	O
以	O
现	B-value
金	I-value
为	O
对	B-key
价	I-key
申	B-操作
赎	I-操作
单	B-交易品种
市	I-交易品种
场	I-交易品种
债	I-交易品种
券	I-交易品种
E	I-交易品种
T	I-交易品种
F	I-交易品种
、	O
跨	B-交易品种
市	I-交易品种
场	I-交易品种
债	I-交易品种
券	I-交易品种
E	I-交易品种
T	I-交易品种
F	I-交易品种
、	O
黄	B-交易品种
金	I-交易品种
E	I-交易品种
T	I-交易品种
F	I-交易品种
、	O
商	B-交易品种
品	I-交易品种
期	I-交易品种
货	I-交易品种
E	I-交易品种
T	I-交易品种
F	I-交易品种
或	B-or
者	I-or
跨	B-交易品种
境	I-交易品种
E	I-交易品种
T	I-交易品种
F	I-交易品种
时	O
，	O
应	O
当	O
遵	O
守	O
下	O
列	O
规	O
定	O
：	O
（	O
一	O
）	O
当	B-时间
日	I-时间
竞	B-操作
价	I-操作
买	I-操作
入	I-操作
的	O
E	B-操作部分
T	I-操作部分
F	I-操作部分
份	I-操作部分
额	I-操作部分
，	O
当	B-时间
日	I-时间
可	O
以	O
赎	B-操作
回	I-操作
；	O
当	B-时间
日	I-时间
大	B-操作
宗	I-操作
买	I-操作
入	I-操作
的	O
E	B-操作部分
T	I-操作部分
F	I-操作部分
份	I-操作部分
额	I-操作部分
，	O
次	B-时间
一	I-时间
交	I-时间
易	I-时间
日	I-时间
可	O
以	O
赎	B-操作
回	I-操作
；	O
（	O
二	O
）	O
当	B-时间
日	I-时间
申	B-操作
购	I-操作
的	O
E	B-操作部分
T	I-操作部分
F	I-操作部分
份	I-操作部分
额	I-操作部分
，	O
在	O
交	B-时间
收	I-时间
前	I-时间
不	B-结果
得	I-结果
卖	B-操作
出	I-操作
或	B-or
者	I-or
赎	B-操作
回	I-操作
。	O
