本	B-操作人
所	I-操作人
在	B-事件
每	I-事件
个	I-事件
交	I-事件
易	I-事件
日	I-事件
开	I-事件
市	I-事件
前	O
，	O
根	O
据	O
会	O
员	O
报	O
送	O
数	O
据	O
，	O
向	O
市	O
场	O
公	B-操作
布	I-操作
下	B-操作部分
列	I-操作部分
信	I-操作部分
息	I-操作部分
：	O
（	O
一	O
）	O
前	B-key
一	I-key
交	I-key
易	I-key
日	I-key
单	I-key
只	I-key
标	I-key
的	I-key
证	I-key
券	I-key
融	I-key
资	I-key
融	I-key
券	I-key
交	I-key
易	I-key
信	I-key
息	I-key
，	O
包	O
括	O
融	B-value
资	I-value
买	I-value
入	I-value
额	I-value
、	O
融	B-value
资	I-value
余	I-value
额	I-value
、	O
融	B-value
券	I-value
卖	I-value
出	I-value
量	I-value
、	O
融	B-value
券	I-value
余	I-value
量	I-value
等	O
信	O
息	O
；	O
（	O
二	O
）	O
前	O
一	O
交	O
易	O
日	O
市	O
场	O
融	O
资	O
融	O
券	O
交	O
易	O
总	O
量	O
信	O
息	O
。	O
