本	B-系统
所	I-系统
在	B-时间
作	I-时间
出	I-时间
同	I-时间
意	I-时间
或	I-时间
者	I-时间
不	I-时间
同	I-时间
意	I-时间
中	I-时间
国	I-时间
存	I-时间
托	I-时间
凭	I-时间
证	I-时间
主	I-时间
动	I-时间
终	I-时间
止	I-时间
上	I-时间
市	I-时间
决	I-时间
定	I-时间
之	I-时间
日	I-时间
起	I-时间
1	I-时间
5	I-时间
个	I-时间
交	I-时间
易	I-时间
日	I-时间
内	I-时间
，	O
以	O
及	O
中	B-时间
国	I-时间
存	I-时间
托	I-时间
凭	I-时间
证	I-时间
退	I-时间
出	I-时间
市	I-时间
场	I-时间
交	I-时间
易	I-时间
之	I-时间
日	I-时间
起	I-时间
1	I-时间
5	I-时间
个	I-时间
交	I-时间
易	I-时间
日	I-时间
内	I-时间
，	O
将	O
中	B-操作部分
国	I-操作部分
存	I-操作部分
托	I-操作部分
凭	I-操作部分
证	I-操作部分
主	I-操作部分
动	I-操作部分
终	I-操作部分
止	I-操作部分
上	I-操作部分
市	I-操作部分
的	I-操作部分
情	I-操作部分
况	I-操作部分
报	B-操作
中	I-操作
国	I-操作
证	I-操作
监	I-操作
会	I-操作
备	I-操作
案	I-操作
。	O
