境	B-操作人
外	I-操作人
发	I-操作人
行	I-操作人
人	I-操作人
应	O
当	O
按	B-操作
照	I-操作
《	B-操作部分
证	I-操作部分
券	I-操作部分
法	I-操作部分
》	I-操作部分
《	I-操作部分
信	I-操作部分
息	I-操作部分
披	I-操作部分
露	I-操作部分
管	I-操作部分
理	I-操作部分
办	I-操作部分
法	I-操作部分
》	I-操作部分
《	I-操作部分
存	I-操作部分
托	I-操作部分
凭	I-操作部分
证	I-操作部分
管	I-操作部分
理	I-操作部分
办	I-操作部分
法	I-操作部分
》	I-操作部分
《	I-操作部分
监	I-操作部分
管	I-操作部分
规	I-操作部分
定	I-操作部分
》	I-操作部分
以	I-操作部分
及	I-操作部分
本	I-操作部分
办	I-操作部分
法	I-操作部分
的	I-操作部分
规	I-操作部分
定	I-操作部分
，	O
编	B-操作
制	I-操作
并	I-操作
披	I-操作
露	I-操作
定	B-操作部分
期	I-操作部分
报	I-操作部分
告	I-操作部分
和	I-操作部分
临	I-操作部分
时	I-操作部分
报	I-操作部分
告	I-操作部分
。	O
