中	B-操作人
国	I-操作人
存	I-操作人
托	I-操作人
凭	I-操作人
证	I-操作人
的	I-操作人
存	I-操作人
托	I-操作人
人	I-操作人
按	B-操作
照	I-操作
存	B-操作部分
托	I-操作部分
协	I-操作部分
议	I-操作部分
的	I-操作部分
约	I-操作部分
定	I-操作部分
参	I-操作部分
与	I-操作部分
分	I-操作部分
红	I-操作部分
派	I-操作部分
息	I-操作部分
等	I-操作部分
公	I-操作部分
司	I-操作部分
行	I-操作部分
为	I-操作部分
，	O
应	O
当	O
符	B-操作
合	I-操作
国	B-操作部分
家	I-操作部分
关	I-操作部分
于	I-操作部分
跨	I-操作部分
境	I-操作部分
资	I-操作部分
金	I-操作部分
管	I-操作部分
理	I-操作部分
的	I-操作部分
有	I-操作部分
关	I-操作部分
规	I-操作部分
定	I-操作部分
，	O
并	O
于	O
相	B-事件
关	I-事件
公	I-事件
司	I-事件
行	I-事件
为	I-事件
涉	I-事件
及	I-事件
的	I-事件
境	I-事件
内	I-事件
事	I-事件
务	I-事件
履	I-事件
行	I-事件
完	I-事件
毕	I-事件
后	O
，	O
及	O
时	O
向	O
本	B-系统
所	I-系统
报	B-操作
告	I-操作
对	B-操作部分
应	I-操作部分
的	I-操作部分
跨	I-操作部分
境	I-操作部分
资	I-操作部分
金	I-操作部分
流	I-操作部分
动	I-操作部分
情	I-操作部分
况	I-操作部分
。	O
