股	B-交易方式
票	I-交易方式
连	I-交易方式
续	I-交易方式
竞	B-结果
价	I-结果
阶	O
段	O
限	B-value
价	I-value
申	I-value
报	I-value
的	I-value
有	I-value
效	O
申	B-value
报	I-value
价	I-value
格	I-value
，	I-vaI-value
应	I-value
当	I-value
符	I-value
合	O
下	O
列	B-操作部分
规	I-操作部分
定	I-操作部分
：	I-操作部分
（	I-操作部分
一	I-操作部分
）	I-操作部分
买	I-操作部分
入	I-操作部分
申	O
报	O
价	O
格	B-价格
不	I-价格
得	I-B-时间
高	I-时间
于	I-时间
买	I-时间
入	B-状态
基	I-状态
准	I-状态
价	I-状态
格	I-状态
的	I-状态
1	O
0	O
2	O
%	O
和	O
买	O
入	O
基	O
准	O
价	O
格	O
以	O
上	O
十	O
个	O操作
申	I-操作
报	O
价	O
格	O
最	O
小	O
变	O
动	O
单	O
位	O
的	O
孰	O
高	O
值	O
；	O
（	O
二	O
）	O
卖	O
出	O
申	O
报	O
价	O
格	O
不	O
得	O
低	O
于	O
卖	O
出	O
基	O
准	O
价	O
格	O
的	O
9	O
8	O
%	O
和	O
卖	O
出	O
基	O
准	O
价	O
格	O
以	O
下	O
十	O
个	O
申	O
报	O
价	O
格	O
最	O
小	O
变	O
动	O
单	O
位	O
的	O
孰	O
低	O
值	O
。	O
买	O
入	O
（	O
卖	O
出	O
）	O
基	O
准	O
价	O
格	O
，	O
为	O
即	O
时	O
揭	O
示	O
的	O
最	O
低	O
卖	O
出	O
（	O
最	O
高	O
买	O
入	O
）	O
申	I-操作人
报	I-操作人
价	O
格	O
；	B-价格
无	I-价格
即	I-价格
时	I-价格
揭	O
示	B-数量
的	I-数量
最	I-数量
低	I-数量
卖	I-数量
出	I-数量
（	I-数量
最	I-数量
高	I-数量
买	I-数量
入	I-数量
）	B-操作
申	I-操作
报	O
价	B-key
格	I-key
的	I-key
，	I-key
为	I-key
即	I-key
时	I-key
揭	O
示	O
的	B-value
最	I-value
高	I-value
买	I-value
入	I-value
（	I-value
最	O
低	B-value
卖	I-value
出	I-value
）	I-value
申	I-value
报	I-value
价	O
格	O
；	O
无	O
即	O
时	O
揭	B-value
示	I-value
的	I-value
最	I-value
高	I-value
买	I-value
入	I-value
（	I-value
最	O
低	O
卖	B-操作部分
出	I-操作部分
）	I-操作部分
申	I-操作部分
报	I-操作部分
价	I-操作部分
格	I-操作部分
的	I-操作部分
，	I-操作部分
为	O
最	O
近	B-价格
成	I-价格
交	I-价格
价	I-价格
；	B-操作
当	I-操作
日	O
无	O
成	O
交	B-value
的	I-value
，	I-value
为	I-valuelue
前	O
收	B-key
盘	I-key
价	O
。	O
开	O
市	B-value
期	I-value
间	I-value
临	I-value
时	I-value
停	I-value
牌	O
阶	O
段	O
的	O
限	O
价	B-操作人
申	I-操作人
报	I-操作人
，	I-操作人
不	I-操作人
适	I-操作人B-状态
用	I-状态
前	I-状态
两	I-状态
款	I-状态
规	I-状态
定	I-状态
。	I-状态
