境	B-操作人
外	I-操作人
发	I-操作人
行	I-操作人
人	I-操作人
在	O
本	B-事件
所	I-事件
上	I-事件
市	I-事件
后	O
，	O
因	O
增	B-value
发	I-value
、	O
配	B-value
股	I-value
等	O
行	B-key
为	I-key
申	B-操作
请	I-操作
新	B-操作部分
增	I-操作部分
中	I-操作部分
国	I-操作部分
存	I-操作部分
托	I-操作部分
凭	I-操作部分
证	I-操作部分
上	I-操作部分
市	I-操作部分
，	O
应	O
当	O
提	B-操作
交	I-操作
上	B-操作部分
市	I-操作部分
申	I-操作部分
请	I-操作部分
书	I-操作部分
、	I-操作部分
中	I-操作部分
国	I-操作部分
证	I-操作部分
监	I-操作部分
会	I-操作部分
关	I-操作部分
于	I-操作部分
本	I-操作部分
次	I-操作部分
发	I-操作部分
行	I-操作部分
的	I-操作部分
行	I-操作部分
政	I-操作部分
许	I-操作部分
可	I-操作部分
文	I-操作部分
件	I-操作部分
、	I-操作部分
本	I-操作部分
次	I-操作部分
拟	I-操作部分
上	I-操作部分
市	I-操作部分
的	I-操作部分
中	I-操作部分
国	I-操作部分
存	I-操作部分
托	I-操作部分
凭	I-操作部分
证	I-操作部分
已	I-操作部分
由	I-操作部分
中	I-操作部分
国	I-操作部分
结	I-操作部分
算	I-操作部分
存	I-操作部分
管	I-操作部分
的	I-操作部分
证	I-操作部分
明	I-操作部分
等	I-操作部分
文	I-操作部分
件	I-操作部分
。	O
