向	B-交易品种
不	I-交易品种
特	I-交易品种
定	I-交易品种
对	I-交B-价格
象	I-价格
发	I-价格
行	B-状态
的	I-状态
可	I-状态
转	I-状态
债	I-状态B-交易方式
的	I-交易方式
开	I-交易方式
盘	I-交易方式
价	I-交易方式
、	I-交易方式
收	B-状态
盘	I-状态
价	I-状态
通	I-状态
过	I-状态
集	I-B-时间
合	I-时间
匹	B-交易方式
配	I-交易方式
方	I-交易方式
式	I-交易方式
产	B-状态
生	I-状态
。	I-状态
开	O
盘	O
价	O
不	B-价格
能	I-价格
通	I-价格
过	I-价格
集	O
合	B-key
匹	I-key
配	I-key
产	I-key
生	I-key
的	OI-状态
，	I-状态
以	I-状态
连	I-状态
续	I-状态
匹	I-状态
配	I-状态
方	I-状态
式	O
产	O
生	O
，	B-价格
为	I-价格
当	I-价格
日	I-价格
连	I-价格
续	I-价格
匹	I-价格
配	I-价格
第	I-价格
一	I-价格
笔	I-价格
成	I-价格
交	I-价格
价	I-价格
。	I-价格
收	I-价格
盘	I-价格
集	I-价格
合	I-价格
匹	I-价格
配	I-价格
不	I-价格
能	I-价格
产	I-价格
生	I-价格
收	I-价格
盘	I-价格
价	I-价格
或	I-价格
者	I-价格
未	I-价格
进	I-价格
行	I-价格
收	I-价格
盘	I-价格
集	I-价格
合	I-价格
匹	O
配	B-key
的	I-key
，	I-key
以	OI-操作
当	O
日	O
该	O
可	O
转	B-key
债	I-key
最	I-key
后	I-key
一	I-key
笔	I-key
匹	I-key
配	I-key
成	I-key
交	I-key
（	OI-交易品种
含	I-交易品种
）	O
前	B-价格
一	I-价格
分	I-价格
钟	O
内	B-价格
所	I-价格
有	I-价格
匹	O
配	O
成	B-交易方式
交	I-交易方式
的	I-交易方式
成	I-交易方式
交	O
量	O
加	O
权	O
平	O易品种
均	I-交易品种
价	I-交易品种
为	I-交易品种
收	I-交易品种
盘	I-交易品种
价	I-交易品种
。	I-交易品种
当	O
日	B-价格
匹	I-价格
配	I-价格
成	O
交	B-价格
无	I-价格
成	I-价格
交	O
的	O
，	B-交易方式
以	I-交易方式
前	I-交易方式
收	I-交易方式
盘	O
价	O
为	O
当	O
日	O
收	B-价格
盘	I-价格
价	I-价格
。	B-状态
收	I-状态
盘	I-状态
集	I-状态
合	I-状态
匹	I-状态
配	I-状态
与	I-状态
盘	I-状态
中	I-状态
临	O
时	O
停	O
牌	B-交易方式
复	I-交易方式
牌	I-交易方式
集	I-交易方式
合	O
匹	O
配	B-操作
的	I-操作
成	O
交	O
原	B-key
则	I-key
相	I-key
同	I-key
。	I-key
