证	B-操作人
券	I-操作人
公	I-操作人
司	I-操作人
应	O
当	O
对	O
股	B-操作部分
票	I-操作部分
质	I-操作部分
押	I-操作部分
回	I-操作部分
购	I-操作部分
实	B-操作
行	I-操作
集	I-操作
中	I-操作
统	I-操作
一	I-操作
管	I-操作
理	I-操作
，	O
并	O
建	B-操作
立	I-操作
完	B-操作部分
备	I-操作部分
的	I-操作部分
管	I-操作部分
理	I-操作部分
制	I-操作部分
度	I-操作部分
、	I-操作部分
操	I-操作部分
作	I-操作部分
流	I-操作部分
程	I-操作部分
和	I-操作部分
风	I-操作部分
险	I-操作部分
识	I-操作部分
别	I-操作部分
、	I-操作部分
评	I-操作部分
估	I-操作部分
与	I-操作部分
控	I-操作部分
制	I-操作部分
体	I-操作部分
系	I-操作部分
，	O
确	B-操作
保	I-操作
风	B-操作部分
险	I-操作部分
可	I-操作部分
测	I-操作部分
、	I-操作部分
可	I-操作部分
控	I-操作部分
、	I-操作部分
可	I-操作部分
承	I-操作部分
受	I-操作部分
。	O
