向	B-交易品种
不	I-交易品种
特	I-交易品种
定	I-交易品种
对	I-交易品种
象	I-交易品种
发	I-交易品种
行	I-交易品种
的	I-交易品种
可	I-交易品种
转	I-交易品种
债	I-交易品种
上	B-时间
市	I-时间
首	I-时间
日	I-时间
匹	B-交易方式
配	I-交易方式
成	I-交易方式
交	I-交易方式
出	O
现	O
下	O
列	O
情	O
形	O
的	O
，	O
本	O
所	O
可	O
以	O
对	O
其	O
实	O
施	O
盘	B-value
中	I-value
临	I-value
时	I-value
停	I-value
牌	I-value
：	O
（	O
一	O
）	O
盘	B-key
中	I-key
成	I-key
交	I-key
价	I-key
较	O
发	B-价格
行	I-价格
价	I-价格
首	B-时间
次	I-时间
上	B-op
涨	I-op
或	B-or
者	I-or
下	B-op
跌	I-op
达	B-op
到	I-op
或	B-or
者	I-or
超	B-op
过	I-op
2	B-价格
0	I-价格
%	I-价格
的	O
，	O
临	B-key
时	I-key
停	I-key
牌	I-key
时	I-key
间	I-key
为	O
3	B-时间
0	I-时间
分	I-时间
钟	I-时间
；	O
（	O
二	O
）	O
盘	B-key
中	I-key
成	I-key
交	I-key
价	I-key
较	O
发	B-价格
行	I-价格
价	I-价格
首	B-时间
次	I-时间
上	B-op
涨	I-op
或	B-or
者	I-or
下	B-op
跌	I-op
达	B-op
到	I-op
或	B-or
者	I-or
超	B-op
过	I-op
3	B-价格
0	I-价格
%	I-价格
的	O
，	O
临	B-key
时	I-key
停	I-key
牌	I-key
至	B-时间
1	I-时间
4	I-时间
:	I-时间
5	I-时间
7	I-时间
。	O
盘	B-value
中	I-value
临	I-value
时	I-value
停	I-value
牌	I-value
的	O
具	O
体	O
时	O
间	O
以	O
本	O
所	O
公	O
告	O
为	O
准	O
，	O
临	B-key
时	I-key
停	I-key
牌	I-key
时	I-key
间	I-key
跨	B-时间
越	I-时间
1	I-时间
4	I-时间
:	I-时间
5	I-时间
7	I-时间
的	O
，	O
于	O
当	B-时间
日	I-时间
1	I-时间
4	I-时间
:	I-时间
5	I-时间
7	I-时间
复	B-操作
牌	I-操作
，	O
并	O
对	O
已	B-操作部分
接	I-操作部分
受	I-操作部分
的	I-操作部分
申	I-操作部分
报	I-操作部分
进	O
行	O
复	B-操作
牌	I-操作
集	I-操作
合	I-操作
匹	I-操作
配	I-操作
，	O
再	O
进	O
行	O
收	B-操作
盘	I-操作
集	I-操作
合	I-操作
匹	I-操作
配	I-操作
。	O
