会	B-操作人
员	I-操作人
根	B-状态
据	I-状态
与	I-状态
客	I-状态
户	I-状态
的	I-状态
约	I-状态
定	I-状态
采	I-状态
取	I-状态
强	I-状态
制	I-状态
平	I-状态
仓	I-状态
措	I-状态
施	I-状态
的	O
，	O
应	O
当	O
按	O
照	O
本	O
所	O
规	O
定	O
的	O
格	O
式	O
申	B-操作
报	I-操作
强	B-操作部分
制	I-操作部分
平	I-操作部分
仓	I-操作部分
指	I-操作部分
令	I-操作部分
，	O
申	B-key
报	I-key
指	I-key
令	I-key
应	O
当	O
包	O
括	O
客	B-value
户	I-value
的	I-value
信	I-value
用	I-value
证	I-value
券	I-value
账	I-value
户	I-value
号	I-value
码	I-value
、	O
融	B-value
资	I-value
融	I-value
券	I-value
专	I-value
用	I-value
交	I-value
易	I-value
单	I-value
元	I-value
代	I-value
码	I-value
、	O
证	B-value
券	I-value
代	I-value
码	I-value
、	O
买	B-value
卖	I-value
方	I-value
向	I-value
、	O
价	B-value
格	I-value
、	O
数	B-value
量	I-value
、	O
融	B-value
资	I-value
强	I-value
制	I-value
平	I-value
仓	I-value
或	O
者	O
融	B-value
券	I-value
强	I-value
制	I-value
平	I-value
仓	I-value
标	I-value
识	I-value
等	O
内	O
容	O
。	O
