卖	B-操作人
方	I-操作人
应	O
当	O
于	O
竞	B-时间
买	I-时间
日	I-时间
通	O
过	O
交	O
易	O
系	O
统	O
提	B-操作
交	I-操作
竞	B-操作部分
买	I-操作部分
发	I-操作部分
起	I-操作部分
申	I-操作部分
报	I-操作部分
。	O
竞	B-key
买	I-key
发	I-key
起	I-key
申	I-key
报	I-key
要	I-key
素	I-key
应	O
当	O
包	O
括	O
竞	B-value
买	I-value
方	I-value
式	I-value
、	O
证	B-value
券	I-value
代	I-value
码	I-value
、	O
价	B-value
格	I-value
区	I-value
间	I-value
、	O
数	B-value
量	I-value
、	O
最	B-value
低	I-value
成	I-value
交	I-value
总	I-value
量	I-value
（	I-value
如	I-value
有	I-value
）	I-value
、	O
证	B-value
券	I-value
账	I-value
户	I-value
号	I-value
码	I-value
、	O
结	B-value
算	I-value
方	I-value
式	I-value
、	O
结	B-value
算	I-value
周	I-value
期	I-value
、	O
是	B-value
否	I-value
匿	I-value
名	I-value
等	O
。	O
竞	B-key
买	I-key
发	I-key
起	I-key
申	I-key
报	I-key
要	I-key
素	I-key
原	O
则	O
上	O
应	O
与	O
对	B-value
应	I-value
竞	I-value
买	I-value
预	I-value
约	I-value
的	I-value
要	I-value
素	I-value
内	O
容	O
一	O
致	O
。	O
