向	B-交易品种
特	I-交易品种
定	I-交易品种
对	I-交易品种
象	I-交易品种
发	I-交易品种
行	I-交易品种
的	I-交易品种
可	I-交易品种
转	I-交易品种
债	I-交易品种
单	B-数量
笔	I-数量
转	I-数量
让	I-数量
申	I-数量
报	I-数量
数	I-数量
量	I-数量
应	O
当	O
不	B-op
低	I-op
于	I-op
5	B-价格
万	I-价格
元	I-价格
面	I-价格
额	I-价格
，	O
持	O
有	O
不	B-价格
足	I-价格
5	I-价格
万	I-价格
元	I-价格
面	I-价格
额	I-价格
的	O
应	O
当	O
一	B-操作
次	I-操作
性	I-操作
全	I-操作
部	I-操作
申	I-操作
报	I-操作
卖	I-操作
出	I-操作
。	O易品种
本	I-交易品种
所	I-交易品种
可	I-交易品种
以	B-数量
根	I-数量
据	I-数量
市	I-数量
场	I-数量
需	I-数量
要	I-数量
，	I-数量
调	O
整	O
前	B-op
款	I-op
规	I-op
定	B-价格
的	I-价格
可	I-价格
转	I-价格
债	I-价格
单	O
笔	O
转	O
让	B-价格
申	I-价格
报	I-价格
数	I-价格
量	I-价格
。	I-价格
