除	B-时间
上	I-时间
市	I-时间
首	I-时间
日	I-时间
外	I-时间
，	O
向	B-交易品种
不	I-交易品种
特	I-交易品种
定	I-交易品种
对	I-交易品种
象	I-交易品种
发	I-交易品种
行	I-交易品种
的	I-交易品种
可	IB-key
转	I-key
债	I-key
的	I-key
价	I-key
格	I-key
涨	I-key
跌	I-key
幅	I-key
限	I-keB-key
制	I-key
比	I-key
例	I-key
为	I-key
2	I-key
0	I-key
%	B-op
。	I-op
涨	B-价格
跌	I-价格
幅	I-价格
限	I-价格
制	I-价格
价	I-价格
格	I-价格
的	I-价格
计	I-价格
算	I-价格
公	O
式	O
为	O
：	B-价格
涨	I-价格
跌	I-价格
幅	I-价格
限	I-价格
制	I-价格
价	I-价格
格	I-价格
=	I-价格
前	I-价格
收	O
盘	O
价	B-key
×	I-key
（	I-key
1	I-key
±	O-key
涨	I-key
跌	B-op
幅	I-op
限	B-价格
制	I-价格
比	I-价格
例	I-价格
）	I-价格
。	I-价格
计	I-价格
算	I-价格
结	I-价格
果	I-价格
按	O
照	O
四	O
舍	B-价格
五	I-价格
入	I-价格
原	I-价格
则	I-价格
取	I-价格
至	I-价格
价	I-价格
格	I-价格
最	I-价格
小	I-价格
变	I-价格
动	I-价格
单	I-价格
位	I-价格
。	I-价格
涨	I-价格
跌	I-价格
幅	O
限	O
制	B-key
价	I-key
格	I-key
与	I-key
前	OI-key
收	I-key
盘	I-key
价	O
之	B-value
差	I-value
的	I-value
绝	O交易品种
对	I-交易品种
值	I-交易品种
低	I-交易品种
于	I-交易品种
申	I-交易品种
报	I-交易品种
价	I-交易品种
格	I-交易品种
最	I-交易品种
小	I-交易品种
变	I-交易品种
动	O
单	B-key
位	I-key
的	I-key
，	I-key
以	I-key
前	I-key
收	I-key
盘	I-key
价	I-key
增	O
减	B-value
一	I-value
个	I-value
申	O
报	O
价	O
格	O
最	O
小	O
变	O
动	O
单	O
位	O
计	O
算	O
相	O
应	O
价	O
格	B-key
。	I-key
涨	I-key
跌	I-key
幅	I-key
限	I-key
制	I-key
价	B-op
格	B-价格
低	I-价格
于	I-价格
申	I-价格
报	I-价格
价	I-价格
格	I-价格
最	I-价格
小	I-价格
变	I-价格
动	I-价格
单	I-价格
位	I-价格
的	I-价格
，	I-价格
以	I-价格
申	O
报	B-key
价	I-key
格	I-key
最	I-key
小	O
变	O
动	B-value
单	I-value
位	I-value
作	I-value
为	I-value
相	I-value
应	O
价	O
格	B-价格
。	I-价格
