本	B-系统
所	I-系统
在	O
交	B-时间
易	I-时间
时	I-时间
间	I-时间
内	I-时间
通	O
过	O
交	O
易	O
系	O
统	O
即	O
时	O
公	O
布	O
盘	B-key
后	I-key
定	I-key
价	I-key
大	I-key
宗	I-key
交	I-key
易	I-key
的	I-key
交	I-key
易	I-key
信	I-key
息	I-key
，	O
内	O
容	O
包	O
括	O
：	O
证	B-value
券	I-value
代	I-value
码	I-value
、	O
证	B-value
券	I-value
简	I-value
称	I-value
、	O
价	B-value
格	I-value
、	O
当	B-value
日	I-value
累	I-value
计	I-value
成	I-value
交	I-value
数	I-value
量	I-value
、	O
当	B-value
日	I-value
累	I-value
计	I-value
成	I-value
交	I-value
金	I-value
额	I-value
以	O
及	O
实	B-value
时	I-value
买	I-value
入	I-value
或	I-value
卖	I-value
出	I-value
的	I-value
申	I-value
报	I-value
数	I-value
量	I-value
等	O
。	O
