投	B-操作人
资	I-操作人
者	I-操作人
通	O
过	O
境	B-系统
内	I-系统
证	I-系统
券	I-系统
公	I-系统
司	I-系统
提	B-操作
交	I-操作
交	B-操作部分
易	I-操作部分
委	I-操作部分
托	I-操作部分
指	I-操作部分
令	I-操作部分
，	O
经	O
由	O
深	B-系统
证	I-系统
通	I-系统
传	O
递	O
至	O
指	O
定	O
的	O
香	B-系统
港	I-系统
证	I-系统
券	I-系统
公	I-系统
司	I-系统
。	O-系统
香	I-系统
港	I-系统
证	B-操作
券	I-操作
公	B-操作部分
司	I-操作部分
依	I-操作部分
据	I-操作部分
深	I-操作部分
证	I-操作部分
通	O
传	O
递	O
的	B-系统
交	I-系统
易	I-系统
委	O
托	O
指	O
令	O
，	O
按	O
照	B-系统
联	I-系统
交	I-系统
所	I-系统
规	I-系统
则	I-系统
在	O
香	B-系统
港	I-系统
股	I-系统
票	I-系统
市	I-系统
场	I-系统
进	O
行	O
证	O
券	O
交	O
易	O
。	O
