境	B-操作人
内	I-操作人
创	I-操作人
新	I-操作人
公	I-操作人
司	I-操作人
应	O
当	O
在	O
年	O
度	O
报	O
告	O
中	O
，	O
结	B-操作
合	I-操作
创	B-操作部分
新	I-操作部分
业	I-操作部分
务	I-操作部分
投	I-操作部分
入	I-操作部分
大	I-操作部分
、	I-操作部分
迭	I-操作部分
代	I-操作部分
快	I-操作部分
、	I-操作部分
风	I-操作部分
险	I-操作部分
高	I-操作部分
、	I-操作部分
易	I-操作部分
被	I-操作部分
颠	I-操作部分
覆	I-操作部分
等	I-操作部分
特	I-操作部分
点	I-操作部分
，	O
披	B-操作
露	I-操作
由	B-操作部分
于	I-操作部分
重	I-操作部分
大	I-操作部分
技	I-操作部分
术	I-操作部分
、	I-操作部分
产	I-操作部分
品	I-操作部分
、	I-操作部分
政	I-操作部分
策	I-操作部分
、	I-操作部分
经	I-操作部分
营	I-操作部分
模	I-操作部分
式	I-操作部分
变	I-操作部分
化	I-操作部分
等	I-操作部分
可	I-操作部分
能	I-操作部分
导	I-操作部分
致	I-操作部分
的	I-操作部分
经	I-操作部分
营	I-操作部分
风	I-操作部分
险	I-操作部分
，	O
充	B-操作
分	I-操作
揭	I-操作
示	I-操作
业	B-操作部分
绩	I-操作部分
下	I-操作部分
滑	I-操作部分
或	I-操作部分
者	I-操作部分
亏	I-操作部分
损	I-操作部分
的	I-操作部分
风	I-操作部分
险	I-操作部分
。	O
公	B-状态
司	I-状态
尚	I-状态
未	I-状态
盈	I-状态
利	I-状态
或	I-状态
者	I-状态
存	I-状态
在	I-状态
累	I-状态
计	I-状态
未	I-状态
弥	I-状态
补	I-状态
亏	I-状态
损	I-状态
的	O
，	O
应	O
当	O
在	O
年	O
报	O
显	O
要	O
位	O
置	O
充	O
分	O
、	O
详	O
细	O
披	B-操作
露	I-操作
相	B-操作部分
关	I-操作部分
情	I-操作部分
况	I-操作部分
，	O
特	B-操作部分
别	I-操作部分
是	I-操作部分
未	I-操作部分
来	I-操作部分
无	I-操作部分
法	I-操作部分
盈	I-操作部分
利	I-操作部分
、	I-操作部分
无	I-操作部分
法	I-操作部分
进	I-操作部分
行	I-操作部分
利	I-操作部分
润	I-操作部分
分	I-操作部分
配	I-操作部分
的	I-操作部分
风	I-操作部分
险	I-操作部分
，	O
并	O
披	B-操作
露	I-操作
依	B-操作部分
法	I-操作部分
落	I-操作部分
实	I-操作部分
保	I-操作部分
护	I-操作部分
投	I-操作部分
资	I-操作部分
者	I-操作部分
合	I-操作部分
法	I-操作部分
权	I-操作部分
益	I-操作部分
规	I-操作部分
定	I-操作部分
的	I-操作部分
各	I-操作部分
项	I-操作部分
措	I-操作部分
施	I-操作部分
。	O
