债	B-交易品种
券	I-交易品种
交	O
易	O
采	O
用	O
竞	B-交易方式
买	I-交易方式
成	I-交易方式
交	I-交易方式
方	O
式	O
，	O
或	B-or
者	I-or
采	O
用	O
其	B-交易方式
他	I-交易方式
交	I-交易方式
易	I-交易方式
方	I-交易方式
式	I-交易方式
并	O
以	O
多	B-value
边	I-value
净	I-value
额	I-value
结	I-value
算	I-value
方	I-value
式	I-value
结	O
算	O
的	O
，	O
经	B-事件
交	I-事件
易	I-事件
系	I-事件
统	I-事件
确	I-事件
认	I-事件
成	I-事件
交	I-事件
后	I-事件
不	B-结果
得	I-结果
解	B-操作
除	I-操作
交	B-操作部分
易	I-操作部分
或	B-or
者	I-or
改	B-操作
变	I-操作
交	B-操作部分
易	I-操作部分
结	I-操作部分
果	I-操作部分
，	O
但	O
存	O
在	O
本	B-结合规则
规	I-结合规则
则	I-结合规则
第	I-结合规则
8	I-结合规则
.	I-结合规则
1	I-结合规则
条	I-结合规则
规	O
定	O
的	O
情	O
形	O
除	B-结果
外	I-结果
。	O
采	O
用	O
点	B-交易方式
击	I-交易方式
成	I-交易方式
交	I-交易方式
、	O
询	B-交易方式
价	I-交易方式
成	I-交易方式
交	I-交易方式
、	O
协	B-交易方式
商	I-交易方式
成	I-交易方式
交	I-交易方式
方	O
式	O
并	O
以	O
逐	B-value
笔	I-value
全	I-value
额	I-value
结	I-value
算	I-value
方	I-value
式	I-value
结	O
算	O
的	O
，	O
出	O
现	O
因	O
不	B-事件
可	I-事件
抗	I-事件
力	I-事件
、	I-事件
预	I-事件
期	I-事件
违	I-事件
约	I-事件
、	I-事件
迟	I-事件
延	I-事件
履	I-事件
行	I-事件
等	O
情	O
形	O
导	O
致	O
交	B-状态
易	I-状态
目	I-状态
的	I-状态
无	I-状态
法	I-状态
实	I-状态
现	I-状态
或	B-or
者	I-or
交	B-状态
易	I-状态
不	I-状态
能	I-状态
继	I-状态
续	I-状态
履	I-状态
行	I-状态
的	O
，	O
在	O
交	B-时间
收	I-时间
开	I-时间
始	I-时间
前	I-时间
，	O
交	B-事件
易	I-事件
双	I-事件
方	I-事件
协	I-事件
商	I-事件
一	I-事件
致	I-事件
后	I-事件
，	O
可	B-结果
以	I-结果
解	B-操作
除	I-操作
相	B-操作部分
关	I-操作部分
交	I-操作部分
易	I-操作部分
。	O
