交	B-操作人
易	I-操作人
各	I-操作人
方	I-操作人
不	B-结果
得	I-结果
通	O
过	O
补	B-操作
充	I-操作
质	B-交易品种
押	I-交易品种
标	I-交易品种
的	I-交易品种
证	I-交易品种
券	I-交易品种
，	O
规	B-操作
避	I-操作
本	B-结合规则
办	I-结合规则
法	I-结合规则
第	I-结合规则
二	I-结合规则
十	I-结合规则
九	I-结合规则
条	I-结合规则
第	I-结合规则
二	I-结合规则
款	I-结合规则
关	O
于	O
标	B-value
的	I-value
证	I-value
券	I-value
范	I-value
围	I-value
、	O
第	B-结合规则
六	I-结合规则
十	I-结合规则
六	I-结合规则
条	I-结合规则
关	O
于	O
单	B-value
只	I-value
A	I-value
股	I-value
股	I-value
票	I-value
质	I-value
押	I-value
数	I-value
量	I-value
及	O
市	B-value
场	I-value
整	I-value
体	I-value
质	I-value
押	I-value
比	I-value
例	I-value
相	B-操作部分
关	I-操作部分
要	I-操作部分
求	I-操作部分
。	O
