股	B-交易方式
票	I-交易方式
质	I-交易方式
押	I-交易方式
回	I-交易方式
购	I-交易方式
的	O
质	B-key
押	I-key
物	I-key
管	I-key
理	I-key
，	O
采	O
用	O
由	O
中	B-操作人
国	I-操作人
结	I-操作人
算	I-操作人
深	I-操作人
圳	I-操作人
分	I-操作人
公	I-操作人
司	I-操作人
对	O
融	B-操作部分
入	I-操作部分
方	I-操作部分
证	I-操作部分
券	I-操作部分
账	I-操作部分
户	I-操作部分
相	I-操作部分
应	I-操作部分
标	I-操作部分
的	I-操作部分
证	I-操作部分
券	I-操作部分
进	O
行	O
质	B-操作
押	I-操作
登	I-操作
记	I-操作
或	B-or
解	B-操作
除	I-操作
质	I-操作
押	I-操作
登	I-操作
记	I-操作
的	O
方	O
式	O
。	O
质	B-事件
押	I-事件
登	I-事件
记	I-事件
办	I-事件
理	I-事件
后	I-事件
，	O
标	B-key
的	I-key
证	I-key
券	I-key
的	I-key
状	I-key
态	I-key
为	O
质	B-状态
押	I-状态
不	I-状态
可	I-状态
卖	I-状态
出	I-状态
。	O
除	O
违	B-value
约	I-value
处	I-value
置	I-value
外	O
，	O
融	B-操作人
入	I-操作人
方	I-操作人
不	B-结果
得	I-结果
将	O
已	B-操作部分
质	I-操作部分
押	I-操作部分
登	I-操作部分
记	I-操作部分
的	I-操作部分
标	I-操作部分
的	I-操作部分
证	I-操作部分
券	I-操作部分
申	B-操作
报	I-操作
卖	I-操作
出	I-操作
或	B-or
另	B-操作
作	I-操作
他	I-操作
用	I-操作
。	O
