本	B-系统
所	I-系统
在	O
每	B-时间
日	I-时间
交	I-时间
易	I-时间
结	I-时间
束	I-时间
后	I-时间
通	O
过	O
交	O
易	O
所	O
网	O
站	O
公	O
布	O
以	O
下	O
交	B-key
易	I-key
信	I-key
息	I-key
：	O
（	O
一	O
）	O
协	B-key
议	I-key
大	I-key
宗	I-key
交	I-key
易	I-key
的	I-key
每	I-key
笔	I-key
成	I-key
交	I-key
信	I-key
息	I-key
，	O
内	O
容	O
包	O
括	O
：	O
证	B-value
券	I-value
代	I-value
码	I-value
、	O
证	B-value
券	I-value
简	I-value
称	I-value
、	O
成	B-value
交	I-value
量	I-value
、	O
成	B-value
交	I-value
价	I-value
格	I-value
以	O
及	O
买	B-value
卖	I-value
双	I-value
方	I-value
所	I-value
在	I-value
会	I-value
员	I-value
证	I-value
券	I-value
营	I-value
业	I-value
部	I-value
或	I-value
交	I-value
易	I-value
单	I-value
元	I-value
的	I-value
名	I-value
称	I-value
；	O
（	O
二	O
）	O
单	B-value
只	I-value
证	I-value
券	I-value
盘	I-value
后	I-value
定	I-value
价	I-value
大	I-value
宗	I-value
交	I-value
易	I-value
的	I-value
累	I-value
计	I-value
成	I-value
交	I-value
量	I-value
、	O
累	B-value
计	I-value
成	I-value
交	I-value
金	I-value
额	I-value
，	O
及	O
该	B-value
证	I-value
券	I-value
当	I-value
日	I-value
买	I-value
入	I-value
、	I-value
卖	I-value
出	I-value
金	I-value
额	I-value
最	I-value
大	I-value
五	I-value
家	I-value
会	I-value
员	I-value
证	I-value
券	I-value
营	I-value
业	I-value
部	I-value
或	I-value
交	I-value
易	I-value
单	I-value
元	I-value
的	I-value
名	I-value
称	I-value
和	I-value
各	I-value
自	I-value
的	I-value
买	I-value
入	I-value
、	I-value
卖	I-value
出	I-value
金	I-value
额	I-value
；	O
（	O
三	O
）	O
单	B-value
只	I-value
证	I-value
券	I-value
大	I-value
宗	I-value
交	I-value
易	I-value
的	I-value
累	I-value
计	I-value
成	I-value
交	I-value
量	I-value
、	O
累	B-value
计	I-value
成	I-value
交	I-value
金	I-value
额	I-value
，	O
及	O
该	B-value
证	I-value
券	I-value
当	I-value
日	I-value
买	I-value
入	I-value
、	I-value
卖	I-value
出	I-value
金	I-value
额	I-value
最	I-value
大	I-value
五	I-value
家	I-value
会	I-value
员	I-value
证	I-value
券	I-value
营	I-value
业	I-value
部	I-value
或	I-value
交	I-value
易	I-value
单	I-value
元	I-value
的	I-value
名	I-value
称	I-value
和	I-value
各	I-value
自	I-value
的	I-value
买	I-value
入	I-value
、	I-value
卖	I-value
出	I-value
金	I-value
额	I-value
。	O
