个	B-状态
人	I-状态
或	I-状态
者	I-状态
机	I-状态
构	I-状态
客	I-状态
户	I-状态
持	I-状态
有	I-状态
上	I-状态
市	I-状态
公	I-状态
司	B-操作人
限	I-操作人
售	I-操作人
股	I-操作人
份	I-操作人
的	I-操作人
，	I-操作人
会	I-操作人
员	I-操作人
不	I-操作人
得	I-操作人
接	I-操作人B-操作人
受	I-操作人
其	B-结果
融	I-结果
券	O
卖	O
出	O
该	O
上	O
市	O
公	O
司	O
股	O
份	O
，	O
也	O
不	O
得	O
接	O
受	O
其	O
以	O
普	O
通	O
证	O
券	O
账	O
户	O作人
持	I-操作人
有	I-操作人
的	I-操作人
限	I-操作人
售	I-操作人
股	O
份	O
充	B-操作人
抵	I-操作人
保	I-操作人
证	O
金	B-时间
。	I-时间
参	I-时间
与	I-时间
注	I-时间
册	I-时间
制	I-时间
下	I-时间
首	I-时间
次	I-时间
公	I-时间
开	I-时间
发	I-时间
行	I-时间
股	I-时间
票	I-时间
战	I-时间
略	I-时间
配	O
售	B-操作
的	I-操作
投	I-操作
资	I-操作
者	I-操作
及	I-操作
其	B-操作部分
关	I-操作部分
联	I-操作部分
方	I-操作部分
，	I-操作部分
在	I-操作部分
参	I-操作部分
与	O
战	B-系统
略	I-系统
配	O
售	O
的	O
投	O
资	O
者	O
承	O
诺	O作部分
持	I-操作部分
有	I-操作部分
期	I-操作部分
限	I-操作部分
内	I-操作部分
，	I-操作部分
不	I-操作部分
得	I-操作部分
融	I-操作部分
券	I-操作部分
卖	O
出	O
该	B-操作
上	I-操作
市	I-操作
公	I-操作
司	B-操作部分
股	I-操作部分
票	I-操作部分
，	I-操作部分
本	I-操作部分
所	I-操作部分
另	I-操作部分
有	I-操作部分
规	I-操作部分
定	I-操作部分
的	I-操作部分
除	I-操作部分
外	I-操作部分
。	I-操作部分
会	I-操作部分
员	I-操作部分
不	I-操作部分
得	I-操作部分
以	I-操作部分
其	I-操作部分
普	OI-状态
通	I-状态
证	I-状态
券	I-状态
账	I-状态
户	O
持	O
有	B-操作人
的	I-操作人
限	B-操作
售	I-操作
股	I-操作
份	I-操作
提	B-操作部分
交	I-操作部分
作	I-操作部分
为	I-操作部分
融	I-操作部分
券	I-操作部分
券	I-操作部分
源	I-操作部分
。	I-操作部分
