投	B-操作人
资	I-操作人
者	I-操作人
交	B-操作
易	I-操作
、	O
申	B-操作
赎	I-操作
货	B-交易品种
币	I-交易品种
E	I-交易品种
T	I-交易品种
F	I-交易品种
时	O
，	O
应	O
当	O
遵	O
守	O
下	O
列	O
规	O
定	O
：	O
（	O
一	O
）	O
当	B-时间
日	I-时间
竞	B-操作
价	I-操作
买	I-操作
入	I-操作
的	O
E	B-操作部分
T	I-操作部分
F	I-操作部分
份	I-操作部分
额	I-操作部分
，	O
当	B-时间
日	I-时间
可	O
以	O
赎	B-操作
回	I-操作
；	O
当	B-时间
日	I-时间
大	B-操作
宗	I-操作
买	I-操作
入	I-操作
的	O
E	B-操作部分
T	I-操作部分
F	I-操作部分
份	I-操作部分
额	I-操作部分
，	O
次	B-时间
一	I-时间
交	I-时间
易	I-时间
日	I-时间
可	O
以	O
赎	B-操作部分
回	I-操作部分
；	O
（	O
二	O
）	O
当	B-时间
日	I-时间
申	B-操作
购	I-操作
的	O
E	B-操作部分
T	I-操作部分
F	I-操作部分
份	I-操作部分
额	I-操作部分
，	O
当	B-时间
日	I-时间
可	O
以	O
赎	B-操作
回	I-操作
或	B-or
者	I-or
竞	B-操作
价	I-操作
卖	I-操作
出	I-操作
，	O
次	B-时间
一	I-时间
交	I-时间
易	I-时间
日	I-时间
可	O
以	O
大	B-操作
宗	I-操作
卖	I-操作
出	I-操作
。	O
