连	B-value
续	I-value
竞	I-value
价	I-value
时	O
，	O
成	O
交	O
价	O
的	O
确	O
定	O
原	O
则	O
为	O
：	O
（	O
一	O
）	O
最	B-状态
高	I-状态
买	I-状态
入	I-状态
申	I-状态
报	I-状态
与	I-状态
最	I-状态
低	I-状态
卖	I-状态
出	I-状态
申	I-状态
报	I-状态
价	I-状态
格	I-状态
相	I-状态
同	I-状态
，	O
以	O
该	B-价格
价	I-价格
格	I-价格
为	O
成	B-key
交	I-key
价	I-key
；	O
（	O
二	O
）	O
买	B-状态
入	I-状态
申	I-状态
报	I-状态
价	I-状态
格	I-状态
高	I-状态
于	I-状态
集	I-状态
中	I-状态
申	I-状态
报	I-状态
簿	I-状态
当	I-状态
时	I-状态
最	I-状态
低	I-状态
卖	I-状态
出	I-状态
申	I-状态
报	I-状态
价	I-状态
格	I-状态
时	I-状态
，	O
以	O
集	B-价格
中	I-价格
申	I-价格
报	I-价格
簿	I-价格
当	I-价格
时	I-价格
的	I-价格
最	I-价格
低	I-价格
卖	I-价格
出	I-价格
申	I-价格
报	I-价格
价	I-价格
格	I-价格
为	O
成	B-key
交	I-key
价	I-key
；	O
（	O
三	O
）	O
卖	B-状态
出	I-状态
申	I-状态
报	I-状态
价	I-状态
格	I-状态
低	I-状态
于	I-状态
集	I-状态
中	I-状态
申	I-状态
报	I-状态
簿	I-状态
当	I-状态
时	I-状态
最	I-状态
高	I-状态
买	I-状态
入	I-状态
申	I-状态
报	I-状态
价	I-状态
格	I-状态
时	I-状态
，	O
以	O
集	B-价格
中	I-价格
申	I-价格
报	I-价格
簿	I-价格
当	I-价格
时	I-价格
的	I-价格
最	I-价格
高	I-价格
买	I-价格
入	I-价格
申	I-价格
报	I-价格
价	I-价格
格	I-价格
为	O
成	B-key
交	I-key
价	I-key
。	O
