红	B-操作人
筹	I-操作人
公	I-操作人
司	I-操作人
控	I-操作人
股	I-操作人
股	I-操作人
东	I-操作人
、	I-操作人
实	I-操作人
际	I-操作人
控	I-操作人
制	I-操作人
人	I-操作人
在	O
下	O
列	O
期	O
间	O
不	B-操作
得	I-操作
买	I-操作
卖	I-操作
本	B-操作部分
公	I-操作部分
司	I-操作部分
在	I-操作部分
境	I-操作部分
内	I-操作部分
发	I-操作部分
行	I-操作部分
的	I-操作部分
股	I-操作部分
票	I-操作部分
或	I-操作部分
者	I-操作部分
存	I-操作部分
托	I-操作部分
凭	I-操作部分
证	I-操作部分
：	O
（	O
一	O
）	O
年	O
度	B-时间
报	I-时间
告	I-时间
公	I-时间
告	I-时间
前	I-时间
三	I-时间
十	I-时间
日	I-时间
内	I-时间
，	I-时间
因	I-时间
特	I-时间
殊	I-时间
原	I-时间
因	I-时间
推	I-时间
迟	I-时间
年	I-时间
度	I-时间
报	I-时间
告	I-时间
公	I-时间
告	I-时间
日	I-时间
期	I-时间
的	I-时间
，	I-时间
自	I-时间
原	I-时间
预	I-时间
约	I-时间
公	I-时间
告	I-时间
日	I-时间
前	I-时间
三	I-时间
十	I-时间
日	I-时间
起	I-时间
算	I-时间
，	I-时间
直	I-时间
至	I-时间
公	I-时间
告	I-时间
前	I-时间
一	I-时间
日	I-时间
；	O
（	O
二	O
）	O
公	O
司	O
业	O
绩	O
预	O
告	O
、	O
业	O
绩	O
快	O
报	O
公	B-时间
告	I-时间
前	I-时间
十	I-时间
日	I-时间
内	I-时间
（	O
如	O
适	O
用	O
）	O
;	O
（	O
三	O
）	O
自	B-时间
可	I-时间
能	I-时间
对	I-时间
公	I-时间
司	I-时间
股	I-时间
票	I-时间
、	I-时间
存	I-时间
托	I-时间
凭	I-时间
证	I-时间
及	I-时间
其	I-时间
衍	I-时间
生	I-时间
品	I-时间
种	I-时间
交	I-时间
易	I-时间
价	I-时间
格	I-时间
产	I-时间
生	I-时间
较	I-时间
大	I-时间
影	I-时间
响	I-时间
的	I-时间
重	I-时间
大	I-时间
事	I-时间
件	I-时间
发	I-时间
生	I-时间
之	I-时间
日	I-时间
，	I-时间
至	I-时间
依	I-时间
法	I-时间
披	I-时间
露	I-时间
后	I-时间
二	I-时间
个	I-时间
交	I-时间
易	I-时间
日	I-时间
内	I-时间
；	O
（	O
四	O
）	O
中	O
国	O
证	O
监	O
会	O
及	O
本	O
所	O
规	O
定	O
的	O
其	B-时间
他	I-时间
期	I-时间
间	I-时间
。	O部分
