已	B-操作人
在	I-操作人
境	I-操作人
外	I-操作人
上	I-操作人
市	I-操作人
红	I-操作人
筹	I-操作人
公	I-操作人
司	I-操作人
及	I-操作人
相	I-操作人
关	I-操作人
信	I-操作人
息	I-操作人
披	I-操作人
露	I-操作人
义	I-操作人
务	I-操作人
人	I-操作人
应	O
当	O
保	B-操作
证	I-操作
其	B-操作部分
在	I-操作部分
境	I-操作部分
外	I-操作部分
市	I-操作部分
场	I-操作部分
披	I-操作部分
露	I-操作部分
的	I-操作部分
信	I-操作部分
息	I-操作部分
同	I-操作部分
步	I-操作部分
在	I-操作部分
境	I-操作部分
内	I-操作部分
市	I-操作部分
场	I-操作部分
披	I-操作部分
露	I-操作部分
，	O
确	B-操作
保	I-操作
境	B-操作部分
内	I-操作部分
投	I-操作部分
资	I-操作部分
者	I-操作部分
可	I-操作部分
以	I-操作部分
平	I-操作部分
等	I-操作部分
地	I-操作部分
获	I-操作部分
取	I-操作部分
同	I-操作部分
一	I-操作部分
信	I-操作部分
息	I-操作部分
，	O
不	O
得	O
向	O
境	O
内	O
外	O
单	O
个	O
或	O
部	O
分	O
投	O
资	O
者	O
透	B-操作
露	I-操作
或	I-操作
泄	I-操作
露	I-操作
未	B-操作部分
披	I-操作部分
露	I-操作部分
重	I-操作部分
大	I-操作部分
信	I-操作部分
息	I-操作部分
。	O
公	B-事件
司	I-事件
在	I-事件
境	I-事件
外	I-事件
市	I-事件
场	I-事件
进	I-事件
行	I-事件
信	I-事件
息	I-事件
披	I-事件
露	I-事件
时	O
，	O
不	B-状态
属	I-状态
于	I-状态
本	I-状态
所	I-状态
市	I-状态
场	I-状态
信	I-状态
息	I-状态
披	I-状态
露	I-状态
时	I-状态
段	I-状态
的	O
，	O
应	O
当	O
在	B-时间
本	I-时间
所	I-时间
市	I-时间
场	I-时间
最	I-时间
近	I-时间
一	I-时间
个	I-时间
信	I-时间
息	I-时间
披	I-时间
露	I-时间
时	I-时间
段	I-时间
内	I-时间
予	B-操作
以	I-操作
披	I-操作
露	I-操作
。	O
