已	B-状态
在	I-状态
境	I-状态
外	I-状态
上	I-状态
市	I-状态
红	I-状态
筹	I-状态
公	I-状态
司	I-状态
进	I-状态
行	I-状态
下	I-状态
列	I-状态
交	I-状态
易	I-状态
事	I-状态
项	I-状态
，	I-状态
达	I-状态
到	I-状态
本	I-状态
办	I-状态
法	I-状态
第	I-状态
七	I-状态
十	I-状态
二	I-状态
条	I-状态
规	I-状态
定	I-状态
的	I-状态
披	I-状态
露	I-状态
标	I-状态
准	I-状态
的	O
，	O
应	O
当	O
及	O
时	O
进	B-操作
行	I-操作
披	I-操作
露	I-操作
：	O
（	O
一	O
）	O
重	B-value
要	I-value
收	I-value
购	I-value
或	I-value
者	I-value
资	I-value
产	I-value
处	I-value
置	I-value
（	O
与	O
公	O
司	O
日	O
常	O
经	O
营	O
相	O
关	O
且	O
不	O
构	O
成	O
资	O
产	O
置	O
换	O
的	O
资	O
产	O
购	O
买	O
或	O
者	O
出	O
售	O
行	O
为	O
除	O
外	O
）	O
；	O
（	O
二	O
）	O
对	B-value
外	I-value
投	I-value
资	I-value
；	O
（	O
三	O
）	O
订	B-value
立	I-value
技	I-value
术	I-value
购	I-value
买	I-value
或	I-value
许	I-value
可	I-value
使	I-value
用	I-value
协	I-value
议	I-value
；	O
（	O
四	O
）	O
转	B-value
让	I-value
或	I-value
受	I-value
让	I-value
重	I-value
大	I-value
研	I-value
发	I-value
项	I-value
目	I-value
；	O
（	O
五	O
）	O
租	B-value
入	I-value
或	I-value
者	I-value
租	I-value
出	I-value
资	I-value
产	I-value
；	O
（	O
六	O
）	O
签	B-value
订	I-value
管	I-value
理	I-value
方	I-value
面	I-value
的	I-value
合	I-value
同	I-value
（	I-value
含	I-value
委	I-value
托	I-value
经	I-value
营	I-value
、	I-value
受	I-value
托	I-value
经	I-value
营	I-value
等	I-value
）	I-value
；	O
（	O
七	O
）	O
赠	B-value
与	I-value
或	I-value
者	I-value
受	I-value
赠	I-value
资	I-value
产	I-value
；	O
（	O
八	O
）	O
中	B-value
国	I-value
证	I-value
监	I-value
会	I-value
和	I-value
本	I-value
所	I-value
规	I-value
定	I-value
的	I-value
其	I-value
他	I-value
重	I-value
大	I-value
交	I-value
易	I-value
事	I-value
项	I-value
。	O
