被	B-操作人
询	I-操作人
价	I-操作人
方	I-操作人
根	O
据	O
询	B-value
价	I-value
请	I-value
求	I-value
要	I-value
素	I-value
，	O
按	O
照	O
询	B-value
价	I-value
请	I-value
求	I-value
交	I-value
易	I-value
方	I-value
向	I-value
的	I-value
相	I-value
反	I-value
方	I-value
向	I-value
，	O
对	O
询	B-操作部分
价	I-操作部分
请	I-操作部分
求	I-操作部分
进	O
行	O
回	B-操作
复	I-操作
。	Oalue
询	I-value
价	I-value
回	I-value
复	I-value
的	O
要	O
素	O
应	B-value
当	I-value
包	I-value
括	I-value
价	I-value
格	I-value
、	I-value
数	I-value
量	I-value
、	I-value
证	I-value
券	I-value
账	I-value
户	O
号	O
码	B-操作部分
等	I-操作部分
内	I-操作部分
容	I-操作部分
。	O
