本	B-系统
所	I-系统
可	O
以	O
根	O
据	O
自	O
律	O
管	O
理	O
工	O
作	O
需	O
要	O
实	B-操作
施	I-操作
日	I-操作
常	I-操作
监	I-操作
管	I-操作
，	O
具	B-key
体	I-key
措	I-key
施	I-key
包	O
括	O
：	O
（	O
一	O
）	O
向	B-value
监	I-value
管	I-value
对	I-value
象	I-value
作	I-value
出	I-value
口	I-value
头	I-value
提	I-value
醒	I-value
或	O
者	O
督	B-value
促	I-value
；	O
（	O
二	O
）	O
向	O
监	O
管	O
对	O
象	O
发	B-操作
出	I-操作
问	B-value
询	I-value
、	O
通	B-value
知	I-value
、	O
督	B-value
促	I-value
等	O
书	B-key
面	I-key
函	I-key
件	I-key
；	O
（	O
三	O
）	O
与	O
监	O
管	O
对	O
象	O
及	O
有	O
关	O
人	O
员	O
进	B-操作
行	I-操作
谈	I-操作
话	I-操作
；	O
（	O
四	O
）	O
要	O
求	O
监	O
管	O
对	O
象	O
开	B-操作
展	I-操作
自	I-操作
查	I-操作
等	O
；	O
（	O
五	O
）	O
要	O
求	O
业	O
务	O
参	O
与	O
机	O
构	O
核	B-操作
查	I-操作
并	O
发	B-操作
表	I-操作
意	I-操作
见	I-操作
；	O
（	O
六	O
）	O
对	O
监	O
管	O
对	O
象	O
进	O
行	O
现	O
场	O
或	B-or
者	I-or
非	O
现	O
场	O
检	B-操作
查	I-操作
；	O
（	O
七	O
）	O
向	O
中	O
国	O
证	O
监	O
会	O
报	B-操作
告	I-操作
有	B-操作部分
关	I-操作部分
情	I-操作部分
况	I-操作部分
；	O
（	O
八	O
）	O
其	B-value
他	I-value
日	I-value
常	I-value
监	I-value
管	I-value
措	I-value
施	I-value
。	O
