债	B-交易品种
券	I-交易品种
在	O
集	B-时间
合	I-时间
匹	I-时间
配	I-时间
阶	I-时间
段	I-时间
没	B-状态
有	I-状态
达	I-状态
成	I-状态
成	I-状态
交	I-状态
的	O
，	O
继	B-事件
续	I-事件
交	I-事件
易	I-事件
时	O
，	O
按	O
照	O
下	O
列	O
方	O
式	O
调	B-操作
整	I-操作
有	B-操作部分
效	I-操作部分
申	I-操作部分
报	I-操作部分
价	I-操作部分
格	I-操作部分
范	I-操作部分
围	I-操作部分
：	O
最	B-key
高	I-key
买	I-key
入	I-key
申	I-key
报	I-key
价	I-key
高	B-op
于	I-op
即	B-价格
时	I-价格
行	I-价格
情	I-价格
显	I-价格
示	I-价格
的	I-价格
前	I-价格
收	I-价格
盘	I-价格
价	I-价格
或	B-or
者	I-or
匹	B-价格
配	I-价格
成	I-价格
交	I-价格
最	I-价格
近	I-价格
成	I-价格
交	I-价格
价	I-价格
，	O
以	O
最	B-价格
高	I-价格
买	I-价格
入	I-价格
申	I-价格
报	I-价格
价	I-价格
为	O
基	B-key
准	I-key
调	B-操作
整	I-操作
有	B-操作部分
效	I-操作部分
申	I-操作部分
报	I-操作部分
价	I-操作部分
格	I-操作部分
范	I-操作部分
围	I-操作部分
；	O
最	B-key
低	I-key
卖	I-key
出	I-key
申	I-key
报	I-key
价	I-key
低	B-op
于	I-op
即	B-价格
时	I-价格
行	I-价格
情	I-价格
显	I-价格
示	I-价格
的	I-价格
前	I-价格
收	I-价格
盘	I-价格
价	I-价格
或	B-or
者	I-or
匹	B-价格
配	I-价格
成	I-价格
交	I-价格
最	I-价格
近	I-价格
成	I-价格
交	I-价格
价	I-价格
，	O
以	O
最	B-价格
低	I-价格
卖	I-价格
出	I-价格
申	I-价格
报	I-价格
价	I-价格
为	O
基	B-key
准	I-key
调	B-操作
整	I-操作
有	B-操作部分
效	I-操作部分
申	I-操作部分
报	I-操作部分
价	I-操作部分
格	I-操作部分
范	I-操作部分
围	I-操作部分
。	O-操作部分
根	I-操作部分
据	I-操作部分
市	I-操作部分
场	I-操作部分
发	O
展	B-key
需	I-key
要	I-key
，	I-key
本	I-key
所	I-key
可	I-key
以	B-op
调	I-op
整	B-价格
有	I-价格
效	I-价格
申	I-价格
报	I-价格
价	I-价格
格	I-价格
范	I-价格
围	I-价格
。	I-价格
