向	B-交易品种
不	I-交易品种
特	I-交易品种
定	I-交易品种
对	I-交易品种
象	I-交易品种
发	I-交易品种
行	I-交易品种
的	I-交易品种
可	I-交易品种
转	I-交易品种
债	I-交易品种
上	B-时间
市	I-时间
首	I-时间
日	I-时间
，	O
开	B-时间
盘	I-时间
集	I-时间
合	I-时间
匹	I-时间
配	I-时间
期	I-时间
间	I-时间
的	O
有	B-key
效	I-key
申	I-key
报	I-key
价	I-key
格	I-key
范	I-key
围	I-key
为	O
发	B-价格
行	I-价格
价	I-价格
的	I-价格
上	I-价格
下	I-价格
3	I-价格
0	I-价格
%	I-价格
，	O
连	B-时间
续	I-时间
匹	I-时间
配	I-时间
、	O
盘	B-时间
中	I-时间
临	I-时间
时	I-时间
停	I-时间
牌	I-时间
、	O
收	B-时间
盘	I-时间
集	I-时间
合	I-时间
匹	I-时间
配	I-时间
期	I-时间
间	I-时间
的	O
有	B-key
效	I-key
申	I-key
报	I-key
价	I-key
格	I-key
范	I-key
围	I-key
为	O
匹	B-价格
配	I-价格
成	I-价格
交	I-价格
最	I-价格
近	I-价格
成	I-价格
交	I-价格
价	I-价格
的	I-价格
上	I-价格
下	I-价格
1	I-价格
0	I-价格
%	I-价格
，	O
收	B-value
盘	I-value
集	I-value
合	I-value
匹	I-value
配	I-value
在	O
有	B-价格
效	I-价格
申	I-价格
报	I-价格
价	I-价格
格	I-价格
范	I-价格
围	I-价格
内	I-价格
进	O
行	O
撮	B-操作
合	I-操作
，	O
且	O
全	B-时间
日	I-时间
有	B-价格
效	I-价格
申	I-价格
报	I-价格
价	I-价格
格	I-价格
不	B-结果
得	I-结果
高	B-op
于	I-op
发	B-价格
行	I-价格
价	I-价格
的	I-价格
1	I-价格
5	I-价格
7	I-价格
.	I-价格
3	I-价格
%	I-价格
并	O
不	B-结果
得	I-结果
低	B-op
于	I-op
发	B-价格
行	I-价格
价	I-价格
的	I-价格
5	I-价格
6	I-价格
.	I-价格
7	I-价格
%	I-价格
。	O
除	B-时间
上	I-时间
市	I-时间
首	I-时间
日	I-时间
外	I-时间
，	O
有	B-价格
效	I-价格
申	I-价格
报	I-价格
价	I-价格
格	I-价格
范	I-价格
围	I-价格
与	O
涨	B-价格
跌	I-价格
幅	I-价格
限	I-价格
制	I-价格
范	I-价格
围	I-价格
一	B-op
致	I-op
。	O
集	B-时间
合	I-时间
匹	I-时间
配	I-时间
期	I-时间
间	I-时间
没	B-状态
有	I-状态
达	I-状态
成	I-状态
成	I-状态
交	I-状态
的	I-状态
，	O
后	B-时间
续	I-时间
匹	I-时间
配	I-时间
期	I-时间
间	I-时间
有	B-key
效	I-key
申	I-key
报	I-key
价	I-key
格	I-key
范	I-key
围	I-key
的	I-key
基	I-key
准	I-key
价	I-key
为	O
匹	B-价格
配	I-价格
成	I-价格
交	I-价格
最	I-价格
近	I-价格
成	I-价格
交	I-价格
价	I-价格
；	O
当	B-时间
日	I-时间
无	B-状态
成	I-状态
交	I-状态
的	O
，	O
为	O
前	B-价格
收	I-价格
盘	I-价格
价	I-价格
。	O
