向	B-交易品种
不	I-交易品种
特	I-交易品种
定	I-交易品种
对	I-交易品种
象	I-交易品种
发	I-交易品种
行	I-交易品种
的	I-交易品种
可	I-交易品种
转	I-交易品种
债	I-交易品种
上	B-时间
市	I-时间
首	I-时间
日	I-时间
，	O
协	B-交易方式
商	I-交易方式
成	I-交易方式
交	I-交易方式
申	B-key
报	I-key
价	I-key
格	I-key
在	O
发	B-价格
行	I-价格
价	I-价格
的	I-价格
上	I-价格
下	I-价格
3	I-价格
0	I-价格
%	I-价格
范	I-价格
围	I-价格
内	I-价格
确	O
定	O
。	O
除	B-时间
上	I-时间
市	I-时间
首	I-时间
日	I-时间
外	I-时间
，	O
协	B-交易方式
商	I-交易方式
成	I-交易方式
交	I-交易方式
申	B-key
报	I-key
价	I-key
格	I-key
在	O
当	B-价格
日	I-价格
涨	I-价格
跌	I-价格
幅	I-价格
限	I-价格
制	I-价格
价	I-价格
格	I-价格
范	I-价格
围	I-价格
内	I-价格
确	O
定	O
。	O
