标	B-状态
的	I-状态
证	I-状态
券	I-状态
为	I-状态
上	I-状态
市	I-状态
开	I-状态
放	I-状态
式	I-状态
基	I-状态
金	I-状态
的	O
，	O
应	O
当	O
符	O
合	O
下	O
列	O
条	B-key
件	I-key
：	O
（	O
一	O
）	O
上	B-value
市	I-value
交	I-value
易	I-value
超	I-value
过	I-value
五	I-value
个	I-value
交	I-value
易	I-value
日	I-value
；	O
（	O
二	O
）	O
最	B-value
近	I-value
五	I-value
个	I-value
交	I-value
易	I-value
日	I-value
内	I-value
的	I-value
日	I-value
平	I-value
均	I-value
资	I-value
产	I-value
规	I-value
模	I-value
不	I-value
低	I-value
于	I-value
5	I-value
亿	I-value
元	I-value
；	O
（	O
三	O
）	O
基	B-value
金	I-value
持	I-value
有	I-value
户	I-value
数	I-value
不	I-value
少	I-value
于	I-value
2	I-value
0	I-value
0	I-value
0	I-value
户	I-value
；	O
（	O
四	O
）	O
基	B-value
金	I-value
份	I-value
额	I-value
不	I-value
存	I-value
在	I-value
分	I-value
拆	I-value
、	I-value
合	I-value
并	I-value
等	I-value
分	I-value
级	I-value
转	I-value
换	I-value
情	I-value
形	I-value
；	I-value
（	O
五	O
）	O
本	B-value
所	I-value
规	I-value
定	I-value
的	I-value
其	I-value
他	I-value
条	I-value
件	I-value
。	O
