除	B-时间
本	I-时间
规	I-时间
则	I-时间
规	I-时间
定	I-时间
的	I-时间
不	I-时间
接	I-时间
受	I-时间
撤	I-时间
销	I-时间
申	I-时间
报	I-时间
的	I-时间
时	I-时间
间	I-时间
段	I-时间
外	I-时间
，	I-时间
其	I-时间
他	I-时间
接	I-时间
受	I-时间
申	I-时间
报	I-时间
的	I-时间
时	I-时间
间	I-时间
内	I-时间
，	O
未	B-状态
成	I-状态
交	I-状态
的	O
申	B-操作部分
报	I-操作部分
可	B-结果
以	I-结果
撤	B-操作
销	I-操作
；	O
部	B-状态
分	I-状态
达	I-状态
成	I-状态
成	I-状态
交	I-状态
的	O
，	O
未	B-操作部分
成	I-操作部分
交	I-操作部分
的	I-操作部分
部	I-操作部分
分	I-操作部分
可	B-结果
以	I-结果
撤	B-操作
销	I-操作
。	O-时间
撤	I-时间
销	I-时间
指	I-时间
令	I-时间
经	I-时间
交	I-时间
易	I-时间
系	I-时间
统	I-时间
确	I-时间
认	I-时间
方	I-时间
为	I-时间
有	I-时间
效	I-时间
。	I-时间
