待	B-时间
购	I-时间
回	I-时间
期	I-时间
间	I-时间
，	O
证	O
券	O
公	O
司	O
与	O
客	O
户	O
之	O
间	O
应	O
当	O
约	O
定	O
证	B-操作人
券	I-操作人
公	I-操作人
司	I-操作人
不	B-结果
得	I-结果
就	O
标	B-交易品种
的	I-交易品种
证	I-交易品种
券	I-交易品种
主	B-操作
动	I-操作
行	I-操作
使	I-操作
股	B-操作部分
东	I-操作部分
或	I-操作部分
持	I-操作部分
有	I-操作部分
人	I-操作部分
权	I-操作部分
利	I-操作部分
，	O
但	O
可	B-结果
以	I-结果
根	O
据	O
客	B-value
户	I-value
的	I-value
申	I-value
请	I-value
，	O
行	B-操作
使	I-操作
基	O
于	O
股	B-value
东	I-value
或	I-value
持	I-value
有	I-value
人	I-value
身	I-value
份	I-value
而	O
享	B-操作部分
有	I-操作部分
的	I-操作部分
出	I-操作部分
席	I-操作部分
股	I-操作部分
东	I-操作部分
大	I-操作部分
会	I-操作部分
、	I-操作部分
提	I-操作部分
案	I-操作部分
、	I-操作部分
表	I-操作部分
决	I-操作部分
等	I-操作部分
权	I-操作部分
利	I-操作部分
。	O
证	B-操作人
券	I-操作人
公	I-操作人
司	I-操作人
及	I-操作人
其	I-操作人
客	I-操作人
户	I-操作人
应	O
当	O
在	O
《	B-value
客	I-value
户	I-value
协	I-value
议	I-value
》	I-value
中	O
约	B-操作
定	I-操作
权	B-操作部分
利	I-操作部分
行	I-操作部分
使	I-操作部分
的	I-操作部分
程	I-操作部分
序	I-操作部分
和	I-操作部分
方	I-操作部分
式	I-操作部分
。	O
