向	B-交易品种
不	I-交易品种
特	I-交易品种
定	I-交易品种
对	I-交易品种
象	I-交易品种
发	I-交易品种
行	I-交易品种
的	I-交易品种
可	I-交易品种
转	I-交易品种
债	I-交易品种
匹	B-交易方式
配	I-交易方式
成	I-交易方式
交	I-交易方式
出	O
现	O
下	O
列	O
情	O
形	O
之	O
一	O
的	O
，	O
属	O
于	O
异	B-结果
常	I-结果
波	O
动	O
，	O
本	O
所	O
分	O
别	O
公	O
布	O
其	O
在	O
交	B-时间
易	I-时间
异	I-时间
常	I-时间
波	I-时间
动	I-时间
期	I-时间
间	I-时间
累	O
计	O
买	B-操作
入	I-操作
、	O
卖	B-操作
出	I-操作
金	O
额	O
最	O
大	O
五	O
家	O
会	O
员	O
证	O
券	O
营	O
业	O
部	O
或	O
者	O
交	O
易	O
单	O
元	O
的	O
名	O
称	O
及	O
其	O
各	O
自	O
累	O
计	O
买	B-操作
入	I-操作
、	O
卖	B-操作
出	I-操作
金	O
额	O
：	O
（	O
一	O
）	O
连	B-时间
续	I-时间
三	I-时间
个	I-时间
交	I-时间
易	I-时间
日	I-时间
内	I-时间
日	I-时间
收	B-key
盘	I-key
价	I-key
涨	I-key
跌	I-key
幅	I-key
偏	I-key
离	I-key
值	I-key
累	B-op
计	I-op
达	I-op
到	I-op
±	B-价格
3	I-价格
0	I-价格
%	I-价格
的	O
；	O
收	B-价格
盘	I-价格
价	I-价格
涨	I-价格
跌	I-价格
幅	I-价格
偏	I-价格
离	I-价格
值	I-价格
的	O
计	O
算	O
公	O
式	O
为	O
：	O
收	B-key
盘	I-key
价	I-key
涨	I-key
跌	I-key
幅	I-key
偏	I-key
离	I-key
值	I-key
=	B-op
单	B-价格
只	I-价格
转	I-价格
债	I-价格
涨	I-价格
跌	I-价格
幅	I-价格
-	I-价格
对	I-价格
应	I-价格
深	I-价格
证	I-价格
转	I-价格
债	I-价格
指	I-价格
数	I-价格
涨	I-价格
跌	I-价格
幅	I-价格
价	I-价格
格	I-价格
达	I-价格
到	I-价格
涨	I-价格
跌	I-价格
幅	I-价格
限	I-价格
制	I-价格
的	O
，	O
取	O
对	B-价格
应	I-价格
的	I-价格
涨	I-价格
跌	I-价格
幅	I-价格
限	I-价格
制	I-价格
比	I-价格
例	I-价格
进	O
行	O
计	O
算	O
。	O
（	O
二	O
）	O
证	O
监	O
会	O
或	O
者	O
本	O
所	O
认	O
定	O
属	O
于	O
异	O
常	O
波	O
动	O
的	O
其	O
他	O
情	O
形	O
。	O
