向	B-交易品种
不	I-交易品种
特	I-交易品种
定	I-交易品种
对	I-交易品种
象	I-交易品种
发	I-交易品种
行	I-交易品种
的	I-交易品种
可	I-交易品种
转	I-交易品种
债	I-交易品种
的	O
开	B-价格
盘	I-价格
价	I-价格
、	O
收	B-价格
盘	I-价格
价	I-价格
通	O
过	O
集	B-交易方式
合	I-交易方式
匹	I-交易方式
配	I-交易方式
方	O
式	O
产	O
生	O
。	O
开	B-价格
盘	I-价格
价	I-价格
不	B-状态
能	I-状态
通	I-状态
过	I-状态
集	I-状态
合	I-状态
匹	I-状态
配	I-状态
产	I-状态
生	I-状态
的	O
，	O
以	O
连	B-交易方式
续	I-交易方式
匹	I-交易方式
配	I-交易方式
方	O
式	O
产	B-操作
生	I-操作
，	O
为	O
当	B-key
日	I-key
连	I-key
续	I-key
匹	I-key
配	I-key
第	I-key
一	I-key
笔	I-key
成	I-key
交	I-key
价	I-key
。	O
收	B-时间
盘	I-时间
集	I-时间
合	I-时间
匹	I-时间
配	I-时间
不	B-状态
能	I-状态
产	I-状态
生	I-状态
收	I-状态
盘	I-状态
价	I-状态
或	B-or
者	I-or
未	B-状态
进	I-状态
行	I-状态
收	I-状态
盘	I-状态
集	I-状态
合	I-状态
匹	I-状态
配	I-状态
的	O
，	O
以	O
当	B-价格
日	I-价格
该	I-价格
可	I-价格
转	I-价格
债	I-价格
最	I-价格
后	I-价格
一	I-价格
笔	I-价格
匹	I-价格
配	I-价格
成	I-价格
交	I-价格
（	I-价格
含	I-价格
）	I-价格
前	I-价格
一	I-价格
分	I-价格
钟	I-价格
内	I-价格
所	I-价格
有	I-价格
匹	I-价格
配	I-价格
成	I-价格
交	I-价格
的	I-价格
成	I-价格
交	I-价格
量	I-价格
加	I-价格
权	I-价格
平	I-价格
均	I-价格
价	I-价格
为	O
收	B-key
盘	I-key
价	I-key
。	O
当	B-时间
日	I-时间
匹	B-交易方式
配	I-交易方式
成	I-交易方式
交	I-交易方式
无	B-状态
成	I-状态
交	I-状态
的	O
，	O
以	O
前	B-价格
收	I-价格
盘	I-价格
价	I-价格
为	O
当	B-key
日	I-key
收	I-key
盘	I-key
价	I-key
。	O
收	B-时间
盘	I-时间
集	I-时间
合	I-时间
匹	I-时间
配	I-时间
与	O
盘	B-时间
中	I-时间
临	I-时间
时	I-时间
停	I-时间
牌	I-时间
复	I-时间
牌	I-时间
集	I-时间
合	I-时间
匹	I-时间
配	I-时间
的	O
成	O
交	O
原	O
则	O
相	O
同	O
。	O
