本	B-系统
所	I-系统
对	O
融	B-交易方式
资	I-交易方式
融	I-交易方式
券	I-交易方式
交	I-交易方式
易	I-交易方式
的	O
下	O
列	O
事	O
项	O
作	O
出	O
规	O
定	O
：	O
（	O
一	O
）	O
交	O
易	O
业	O
务	O
流	O
程	O
；	O
（	O
二	O
）	O
可	O
用	O
于	O
融	B-操作
资	I-操作
买	I-操作
入	I-操作
和	O
融	B-操作
券	I-操作
卖	I-操作
出	I-操作
的	O
证	B-交易品种
券	I-交易品种
；	O
（	O
三	O
）	O
可	O
充	O
抵	O
保	O
证	O
金	O
证	O
券	O
的	O
种	O
类	O
和	O
最	O
高	O
折	O
算	O
率	O
；	O
（	O
四	O
）	O
融	O
资	O
融	O
券	O
的	O
最	O
长	O
期	O
限	O
；	O
（	O
五	O
）	O
初	O
始	O
保	O
证	O
金	O
比	O
例	O
及	O
最	O
低	O
维	O
持	O
担	O
保	O
比	O
例	O
；	O
（	O
六	O
）	O
信	O
息	O
披	O
露	O
与	O
报	O
告	O
制	O
度	O
；	O
（	O
七	O
）	O
市	O
场	O
风	O
险	O
控	O
制	O
措	O
施	O
；	O
（	O
八	O
）	O
其	O
他	O
事	O
项	O
。	O
