向	B-交易品种
不	I-交易品种
特	I-交易品种
定	I-交易品种
对	I-交易品种
象	I-交易品种
发	I-交易品种
行	I-交易品种
的	I-交易品种
可	I-交易品种
转	I-交易品种
债	I-交易品种
上	B-时间
市	I-时间
首	I-时间
日	I-时间
匹	B-交易方式
配	I-交易方式
成	I-交易方式
交	I-交B-value
出	I-value
现	I-value
下	I-value
列	I-value
情	I-value
形	O
的	O
，	O
本	O
所	O
可	O
以	B-系统
对	I-系统
其	O
实	O
施	O
盘	O
中	O
临	B-key
时	I-key
停	I-key
牌	I-key
：	I-key
（	I-key
一	B-时间
）	I-时间
盘	I-时间
中	I-时间
成	I-时间
交	I-时间
价	I-时间
较	O
发	O
行	O
价	B-时间
首	I-时间
次	I-时间
上	I-时间
涨	I-时间
或	I-时间
者	I-时间
下	B-操作
跌	I-操作
达	O
到	O
或	O
者	B-操作部分
超	I-操作部分
过	I-操作部分
2	I-操作部分
0	I-操作部分
%	I-操作部分
的	O
，	O
临	B-操作
时	I-操作
停	I-操作
牌	I-操作
时	I-操作
间	I-操作
为	O
3	O
0	O
分	O
钟	B-操作
；	I-操作
（	I-操作
二	I-操作
）	I-操作
盘	I-操作
中	Oe
成	I-value
交	I-value
价	O
较	O
发	O
行	O
价	B-key
首	I-key
次	I-key
上	I-key
涨	I-key
或	O
者	B-价格
下	I-价格
跌	I-价格
达	B-时间
到	I-时间
或	B-op
者	I-op
超	B-or
过	I-or
3	B-op
0	I-op
%	B-op
的	I-op
，	B-or
临	I-or
时	B-op
停	I-op
牌	B-价格
至	I-价格
1	I-价格
4	O
:	O
5	B-key
7	I-key
。	I-key
盘	I-key
中	I-key
临	I-key
时	O
停	B-时间
牌	I-时间
的	I-时间
具	I-时间
体	O
时	O
间	O
以	O
本	B-key
所	I-key
公	I-key
告	I-key
为	I-key
准	O
，	B-价格
临	I-价格
时	I-价格
停	B-时间
牌	I-时间
时	B-op
间	I-op
跨	B-or
越	I-or
1	B-op
4	I-op
:	B-op
5	I-op
7	B-or
的	I-or
，	B-op
于	I-op
当	B-价格
日	I-价格
1	I-价格
4	O
:	O
5	B-key
7	I-key
复	I-key
牌	I-key
，	B-时间
并	I-时间
对	I-时间
已	I-时间
接	I-时间
受	I-时间
的	O易方式
申	O
报	O
进	O
行	O
复	O
牌	O
集	O
合	O
匹	O
配	O
，	O
再	O
进	O
行	O
收	O
盘	O
集	B-value
合	I-value
匹	I-value
配	I-value
。	I-value
