证	B-交易品种
券	I-交易品种
竞	B-交易方式
价	I-交易方式
交	I-交易方式
易	I-交易方式
按	O
价	B-value
格	I-value
优	I-value
先	I-value
、	O
时	B-value
间	I-value
优	I-value
先	I-value
的	I-value
原	I-value
则	I-value
撮	B-操作
合	I-操作
成	B-结果
交	I-结果
。	O
价	B-key
格	I-key
优	I-key
先	I-key
的	I-key
原	I-key
则	I-key
为	O
：	O
较	B-价格
高	I-价格
价	I-价格
格	I-价格
买	B-操作
入	I-操作
申	I-操作
报	I-操作
优	B-op
先	I-op
于	I-op
较	B-价格
低	I-价格
价	I-价格
格	I-价格
买	B-操作
入	I-操作
申	I-操作
报	I-操作
，	O
较	B-价格
低	I-价格
价	I-价格
格	I-价格
卖	B-操作
出	I-操作
申	I-操作
报	I-操作
优	B-op
先	I-op
于	I-op
较	B-价格
高	I-价格
价	I-价格
格	I-价格
卖	B-操作
出	I-操作
申	I-操作
报	I-操作
。	O
时	B-key
间	I-key
优	I-key
先	I-key
的	I-key
原	I-key
则	I-key
为	O
：	O
买	B-状态
卖	I-状态
方	I-状态
向	I-状态
、	I-状态
价	I-状态
格	I-状态
相	I-状态
同	I-状态
的	O
，	O
先	B-操作人
申	I-操作人
报	I-操作人
者	I-操作人
优	B-op
先	I-op
于	I-op
后	B-操作人
申	I-操作人
报	I-操作人
者	I-操作人
。	O
先	O
后	O
顺	O
序	O
按	O
交	O
易	O
主	O
机	O
接	B-时间
受	I-时间
申	I-时间
报	I-时间
的	I-时间
时	I-时间
间	I-时间
确	O
定	O
。	O
