本	B-系统
所	I-系统
对	O
公	B-操作部分
开	I-操作部分
披	I-操作部分
露	I-操作部分
的	I-操作部分
基	I-操作部分
金	I-操作部分
信	I-操作部分
息	I-操作部分
以	I-操作部分
及	I-操作部分
在	I-操作部分
符	I-操作部分
合	I-操作部分
规	I-操作部分
定	I-操作部分
的	I-操作部分
网	I-操作部分
站	I-操作部分
或	I-操作部分
者	I-操作部分
定	I-操作部分
向	I-操作部分
披	I-操作部分
露	I-操作部分
的	I-操作部分
基	I-操作部分
础	I-操作部分
设	I-操作部分
施	I-操作部分
资	I-操作部分
产	I-操作部分
支	I-操作部分
持	I-操作部分
证	I-操作部分
券	I-操作部分
信	I-操作部分
息	I-操作部分
进	O
行	O
事	B-操作
前	I-操作
核	I-操作
对	I-操作
或	O
者	O
事	B-操作
前	I-操作
登	I-操作
记	I-操作
、	O
事	B-操作
后	I-操作
核	I-操作
对	I-操作
，	O
对	O
其	O
内	O
容	O
的	O
真	O
实	O
性	O
、	O
准	O
确	O
性	O
和	O
完	O
整	O
性	O
不	O
承	O
担	O
责	O
任	O
。	O
